id,name,type,categories,price
612,Cartceivridge,physical,[41],129.11
613,Tweetwoofra,physical,[24],897.44
614,Relifigaar,physical,[33],1946.75
615,Mictectplscope,physical,[43],208.08
616,Playjector,physical,[31],719.16
617,Subtopentor,physical,[31],1978.82
618,Comceivicscope,physical,[25],566.32
619,Cabculplphone,physical,[34],914.28
620,Bibandor,physical,[33],318.69
621,Comleommridge,physical,[38],1302.94
622,Readplottlet,physical,[41],138.26
623,Biholdor,physical,[50],1175.69
624,Tweetjectentor,physical,[31],202.82
625,Subcessry,physical,[25],1918.49
626,Speakcordridge,physical,[46],1537.77
627,Tabtinicer,physical,[26],376.12
628,Comjectanentor,physical,[35],403.22
629,Cabniedgphone,physical,[44],1744.79
630,Anmutphone,physical,[46],710.37
631,Armculonor,physical,[32],463.46
632,Cleanceivridge,physical,[39],750.15
633,Ampjectentor,physical,[48],1571.4
634,Cleanfindar,physical,[42],1573.78
635,Monleicer,physical,[43],765.89
636,Prolictimor,physical,[44],1421.2
637,Chartinon,physical,[51],932.55
638,Readplotteper,physical,[30],1655.22
639,Protopicscope,physical,[36],1047.17
640,Tabculimra,physical,[46],788.29
641,Cleantopry,physical,[19],999.66
642,Telifilet,physical,[35],337.51
643,Ampcyclor,physical,[35],1335.26
644,Charcessicer,physical,[36],652.18
645,Playculor,physical,[26],1370.32
646,Tabtectlet,physical,[40],873.82
647,Chartinor,physical,[43],1775.51
648,Anmutaquer,physical,[38],1346.62
649,Cabmutadry,physical,[48],339.5
650,Transtinphone,physical,[37],477.11
651,Receivedor,physical,[48],1961.08
652,Cabbandentor,physical,[48],840.59
653,Renientor,physical,[36],674.72
654,Anculry,physical,[28],503.64
655,Miccordaquor,physical,[28],876.11
656,Tabcycloner,physical,[42],1756.97
657,Supputadon,physical,[40],708.24
658,Ampniscope,physical,[27],1919.69
659,Reputexor,physical,[43],1869.64
660,Protinscope,physical,[19],179.63
661,Commuter,physical,[25],1778.95
662,Readholdra,physical,[35],1337.54
663,Subcyclewor,physical,[28],1889.32
664,Tabculor,physical,[39],1732.51
665,Armcyclra,physical,[36],1184.46
666,Tabcessentor,physical,[34],922.56
667,Stereocycluper,physical,[47],1608.15
668,Ampniar,physical,[48],629.6
669,Tweettectinscope,physical,[33],1256.3
670,Cleantinor,physical,[24],1100.96
671,Contopplra,physical,[37],1232.18
672,Tweetputra,physical,[46],574.79
673,Tablifiar,physical,[35],1951.09
674,Armniplar,physical,[40],1937.72
675,Cabplottletphone,physical,[28],1749.47
676,Speakfindexscope,physical,[33],252.9
677,Chartaator,physical,[32],319.94
678,Speakniepator,physical,[45],142.66
679,Profindeder,physical,[27],1951.18
680,Monotaimor,physical,[35],979.18
681,Tetopridge,physical,[49],842
682,Subbanderar,physical,[37],1820.75
683,Cabceivra,physical,[27],953.01
684,Readculer,physical,[44],939.41
685,Micholdeplet,physical,[28],885.65
686,Stereoputor,physical,[38],542.42
687,Chartectridge,physical,[26],1623.56
688,Speaktinator,physical,[27],1590.7
689,Monniplry,physical,[37],1669.34
690,Tabtinry,physical,[28],1314.35
691,Stereoceiver,physical,[40],1201.45
692,Subtopon,physical,[26],186.9
693,Tabcessar,physical,[45],544.23
694,Contecter,physical,[47],1209.23
695,Cartmutar,physical,[46],1617.45
696,Procyclscope,physical,[48],313.65
697,Prolifiry,physical,[34],798.51
698,Subholdexry,physical,[29],997.75
699,Subnion,physical,[28],191.56
700,Transcessphone,physical,[31],1016.53
701,Rebandscope,physical,[43],729.26
702,Tecessgara,physical,[32],143.53
703,Armmutor,physical,[31],1814.77
704,Tabjectra,physical,[34],1359.24
705,Comtara,physical,[33],1713.64
706,Armtaefridge,physical,[27],1228.89
707,Comceivanor,physical,[19],1164.69
708,Comtelllet,physical,[37],1857.07
709,Montaor,physical,[28],1493.23
710,Monpickor,physical,[24],1983.87
711,Protopoper,physical,[40],714.89
712,Proputimor,physical,[39],1401.64
713,Mictiner,physical,[27],1365.76
714,Armceivphone,physical,[29],337.36
715,Cabniewer,physical,[51],948.48
716,Tabputer,physical,[42],1448.2
717,Charputridge,physical,[32],841.78
718,Recycllet,physical,[39],1609.84
719,Playjecterentor,physical,[48],781.25
720,Comtellaquentor,physical,[35],1415.56
721,Comtopentor,physical,[35],345.61
722,Tabplottar,physical,[35],1104.32
723,Stereoholdimentor,physical,[30],1027.63
724,Relictaquon,physical,[34],1388.93
725,Comtaonra,physical,[49],162.69
726,Tetopor,physical,[47],1156.99
727,Armniator,physical,[40],1156.69
728,Amplifiator,physical,[25],1323.31
729,Speaklictletator,physical,[48],496.07
730,Comwooffiar,physical,[35],1353.47
731,Cartcordon,physical,[40],1797.94
732,Conplottaquscope,physical,[25],1305.21
733,Recordator,physical,[40],1381.58
734,Playtaar,physical,[43],1315.71
735,Cleantectollon,physical,[49],376.17
736,Anculerator,physical,[43],464.88
737,Ampcyclon,physical,[36],1115.01
738,Tabputicridge,physical,[31],1955.97
739,Prolifier,physical,[25],697.12
740,Comfindplor,physical,[47],1144
741,Telifiexar,physical,[31],968.94
742,Cleanlifier,physical,[19],1312.11
743,Cartniimridge,physical,[35],1150.8
744,Proleollar,physical,[26],628.54
745,Speakfindedgphone,physical,[35],200.12
746,Comcordator,physical,[48],1602.58
747,Relictexon,physical,[35],385.25
748,Cablery,physical,[42],868.07
749,Relictefor,physical,[49],614.94
750,Monolictaquor,physical,[31],1826.25
751,Readpickscope,physical,[33],1727.49
752,Cablicter,physical,[36],1768.92
753,Cableefar,physical,[27],700.09
754,Tweetfindar,physical,[38],307.02
755,Replottar,physical,[35],1704.76
756,Comtinaner,physical,[40],962.89
757,Cartculexry,physical,[44],1382.37
758,Comtelliclet,physical,[39],1367.19
759,Contellader,physical,[41],1089.06
760,Miccordollar,physical,[36],115.12
761,Printlictscope,physical,[24],593.96
762,Cartculuper,physical,[35],1898.57
763,Subfindentor,physical,[19],1595.89
764,Combandupra,physical,[34],753.12
765,Teplotter,physical,[48],917.99
766,Computry,physical,[39],630.16
767,Stereowoofar,physical,[25],619.25
768,Monlifiphone,physical,[51],1404.96
769,Rebandon,physical,[50],283.61
770,Tetellentor,physical,[32],303.69
771,Cabholder,physical,[39],1051.12
772,Monocyclor,physical,[37],349.33
773,Printtectollon,physical,[42],283.92
774,Subputar,physical,[50],1002.77
775,Renior,physical,[42],823.84
776,Procyclridge,physical,[28],1139.63
777,Speakputon,physical,[41],1694.06
778,Reputlet,physical,[36],141.66
779,Tabceiveper,physical,[25],1811.73
780,Telictscope,physical,[31],1227.67
781,Tweetwoofridge,physical,[51],216.23
782,Monputiner,physical,[48],1840.71
783,Cartholdry,physical,[49],349.63
784,Tabniinscope,physical,[31],316.31
785,Conculphone,physical,[32],1012.24
786,Stereocyclscope,physical,[34],243.27
787,Cabtaar,physical,[44],438.49
788,Biwoofar,physical,[38],1062.18
789,Recesser,physical,[37],398.32
790,Biplottentor,physical,[36],180.68
791,Subputeplet,physical,[46],924.58
792,Supcordexry,physical,[26],543.27
793,Continfiscope,physical,[39],612.02
794,Biplotter,physical,[35],1961.31
795,Readcesslet,physical,[40],772.55
796,Comcordedgentor,physical,[26],910.69
797,Concorder,physical,[40],1078.8
798,Remuton,physical,[36],1724.04
799,Subtectollscope,physical,[37],942.37
800,Speakputupor,physical,[33],1075.85
801,Armculer,physical,[29],300.02
802,Stereolictry,physical,[49],1057.2
803,Printculra,physical,[19],744.1
804,Relifieron,physical,[50],1329.21
805,Cleancordlet,physical,[29],1873.35
806,Monplottexphone,physical,[43],1899.57
807,Micplotton,physical,[34],275.32
808,Ampculexor,physical,[32],1555.31
809,Prolicterator,physical,[47],709.83
810,Comcessentor,physical,[31],143.24
811,Subputanra,physical,[24],943.5
812,Cleancordscope,physical,[32],342.08
813,Amptopfiridge,physical,[42],1036.25
814,Readtellaqura,physical,[26],490.73
815,Cartlifier,physical,[51],261.82
816,Tablifiollentor,physical,[41],1688.24
817,Comwoofar,physical,[48],319.62
818,Tweetbander,physical,[38],995.61
819,Procorder,physical,[50],279.98
820,Anjectaqury,physical,[31],1328.27
821,Anlictra,physical,[47],1462.63
822,Rebander,physical,[33],1309.64
823,Anceivry,physical,[33],1574.83
824,Monocordon,physical,[51],447.45
825,Ancordletor,physical,[43],613.11
826,Playtopgaar,physical,[48],1516.04
827,Tabtaupar,physical,[45],205.5
828,Playputgalet,physical,[35],814.94
829,Temutscope,physical,[43],521.23
830,Tabholdommentor,physical,[24],655.09
831,Cleanculer,physical,[28],942.87
832,Tecordgalet,physical,[36],367.17
833,Comtinon,physical,[19],1393.88
834,Subplottor,physical,[27],1543.76
835,Speakholdgaentor,physical,[25],1181.33
836,Transwoofridge,physical,[45],1305.06
837,Montopewer,physical,[24],217.06
838,Cabnier,physical,[51],125.25
839,Sublifiexlet,physical,[36],1321.52
840,Translifiepon,physical,[35],1031.7
841,Bitellra,physical,[19],202.55
842,Transmutentor,physical,[42],1211.82
843,Comtinor,physical,[40],1971.09
844,Compickiner,physical,[24],1580.5
845,Charnier,physical,[19],1143.3
846,Anculimor,physical,[46],309.31
847,Subcordridge,physical,[24],248.5
848,Supholdridge,physical,[44],284.09
849,Cleanculepphone,physical,[19],916.61
850,Telifiommon,physical,[29],882.55
851,Speakputra,physical,[37],1611.47
852,Protinlet,physical,[40],1178.6
853,Printcordfiridge,physical,[51],173.04
854,Subtopinon,physical,[34],1067.34
855,Comcordscope,physical,[27],1502.84
856,Transfindentor,physical,[37],1247.83
857,Charcorderry,physical,[31],485.35
858,Speakcordlet,physical,[26],1699.58
859,Tabceivon,physical,[37],606.1
860,Bibandridge,physical,[32],712.99
861,Playplottscope,physical,[50],660.86
862,Contectewer,physical,[34],393
863,Cleanwoofentor,physical,[27],1837.88
864,Printlephone,physical,[37],851.72
865,Recordgaar,physical,[19],1495.49
866,Anteller,physical,[38],563.75
867,Conjectonor,physical,[44],1232
868,Printplottator,physical,[44],1695.51
869,Speaktecteplet,physical,[30],105.64
870,Supleexon,physical,[40],1053.09
871,Tweettaicer,physical,[38],1432.73
872,Cartfindefscope,physical,[36],1774.09
873,Tablifientor,physical,[41],1162.63
874,Connier,physical,[40],1764.09
875,Cablictentor,physical,[32],1935.34
876,Tetelllet,physical,[44],368.56
877,Recessry,physical,[46],1201.14
878,Transcordgaer,physical,[37],915.13
879,Printputator,physical,[49],1470.22
880,Ancorder,physical,[33],474.65
881,Amptaedger,physical,[36],233.37
882,Playmutfier,physical,[36],335.29
883,Tabtaplscope,physical,[29],1381.81
884,Sublicton,physical,[24],1577.17
885,Readmutupator,physical,[33],550.94
886,Sublifiinar,physical,[43],274.16
887,Retectry,physical,[36],985.83
888,Printtopar,physical,[39],955.66
889,Subputator,physical,[35],1178.92
890,Cabcordefator,physical,[51],999.73
891,Conmutor,physical,[26],934.8
892,Readjectscope,physical,[28],1270.67
893,Ancordletar,physical,[19],905.82
894,Retopedphone,physical,[19],1071.61
895,Subleewentor,physical,[24],252.95
896,Tecessar,physical,[27],1014.46
897,Confindupry,physical,[46],1479.64
898,Cleanjector,physical,[36],985.45
899,Anculimar,physical,[30],1092.63
900,Ampcessfion,physical,[41],911.32
901,Tabtaoper,physical,[19],1825.55
902,Readniollridge,physical,[32],1937.56
903,Anwoofaner,physical,[34],1982.31
904,Comceiveper,physical,[37],1241.59
905,Cabputscope,physical,[26],1175.58
906,Tweetcullet,physical,[28],788.37
907,Tabputexer,physical,[36],687.59
908,Armtectplra,physical,[27],622.15
909,Cartceivscope,physical,[47],1505.42
910,Playlicter,physical,[32],468.81
911,Readtiner,physical,[51],1513.97
912,Tweetholdridge,physical,[46],432.21
913,Proculaner,physical,[26],188.48
914,Suptinon,physical,[39],284.45
915,Bitoper,physical,[38],1627.03
916,Readcorderar,physical,[25],1980.53
917,Concordra,physical,[43],1558.85
918,Subwoofupar,physical,[50],1674.49
919,Reculinscope,physical,[32],683.88
920,Tabcordicer,physical,[47],757.4
921,Tabculinentor,physical,[34],324.06
922,Cabteller,physical,[32],780.5
923,Playplottentor,physical,[46],1246.21
924,Relictor,physical,[46],1500.61
925,Amptaewscope,physical,[39],1254.6
926,Tweetfindra,physical,[39],1077.88
927,Anwoofator,physical,[27],1711.29
928,Tweettector,physical,[38],1683.53
929,Cabtiner,physical,[32],1273.34
930,Tabfindommridge,physical,[50],347.73
931,Monwooflet,physical,[41],750.05
932,Tetoponer,physical,[19],1630.34
933,Monjectry,physical,[49],318.6
934,Tweetputaquor,physical,[36],1878.92
935,Stereoceivedgar,physical,[41],105.73
936,Tablifiiclet,physical,[33],209.54
937,Armputommridge,physical,[50],545.54
938,Teplottedor,physical,[48],440.57
939,Printbandimer,physical,[27],1753.66
940,Procordedgry,physical,[33],1997.29
941,Supcordra,physical,[42],1501.59
942,Monputicentor,physical,[28],1508.55
943,Bibandollor,physical,[19],1517.26
944,Protiner,physical,[24],664.63
945,Biwoofor,physical,[30],1091.93
946,Mononientor,physical,[29],1113.48
947,Cartputer,physical,[41],250.4
948,Tecyclewator,physical,[27],775.62
949,Printniar,physical,[40],1356.65
950,Charputoner,physical,[43],123.77
951,Speakleicry,physical,[24],577.98
952,Cartcordlet,physical,[50],807.35
953,Chartinerry,physical,[26],258.76
954,Cartpickator,physical,[46],1518.87
955,Carttinator,physical,[49],1475.44
956,Armcessator,physical,[30],639.17
957,Stereoculscope,physical,[19],1437.65
958,Tabtectonar,physical,[50],643.51
959,Subpickator,physical,[31],1022.46
960,Monotopommry,physical,[24],1607.48
961,Tetinar,physical,[29],613.71
962,Tabtaopridge,physical,[35],682.9
963,Armtopphone,physical,[35],1053
964,Monoculra,physical,[43],1008.62
965,Bicorduper,physical,[38],1965.46
966,Recyclimra,physical,[51],1160.64
967,Moncessewra,physical,[44],366.97
968,Supcesson,physical,[29],285.8
969,Playculonlet,physical,[19],198.16
970,Tableentor,physical,[51],676.77
971,Commutedor,physical,[34],1169.7
972,Tabpickupscope,physical,[29],905.86
973,Tweetbandicator,physical,[24],1904.27
974,Ampceivedgor,physical,[28],1232.39
975,Monbandexphone,physical,[45],1151.08
976,Tweetcordoper,physical,[50],147.81
977,Speaktinicer,physical,[29],695.71
978,Speaknilet,physical,[43],1571.39
979,Cartplottepator,physical,[45],1846.18
980,Stereojectry,physical,[36],446.19
981,Armwoofor,physical,[19],901.34
982,Tabcorder,physical,[26],368.29
983,Teleor,physical,[31],1931.93
984,Comcordar,physical,[25],725.56
985,Playbandinlet,physical,[47],718.81
986,Micputentor,physical,[33],452.17
987,Micwoofinar,physical,[48],363.65
988,Tabjectanphone,physical,[38],1953.82
989,Armholdra,physical,[41],570.62
990,Tetaupar,physical,[49],1300.67
991,Cabpickar,physical,[48],483.07
992,Anwoofon,physical,[39],354.25
993,Subcessor,physical,[19],1034.26
994,Cabfindaquator,physical,[38],1910.59
995,Cleantinon,physical,[44],857.5
996,Readpickridge,physical,[40],1291.13
997,Subtiner,physical,[39],444.87
998,Armfindoplet,physical,[41],544.45
999,Tabtopaquator,physical,[30],1296.71
1000,Proplottridge,physical,[51],1132.57
1001,Tabputedgra,physical,[31],305.28
1002,Stereobandra,physical,[27],517.03
1003,Transfindra,physical,[38],493.52
1004,Ancordefer,physical,[31],1975.39
1005,Printholdra,physical,[42],192.3
1006,Tabtopinry,physical,[36],859.99
1007,Printcyclentor,physical,[35],1863.11
1008,Tabnigaor,physical,[31],1612.66
1009,Cartculentor,physical,[26],1783.11
1010,Antopiner,physical,[32],893.74
1011,Refindator,physical,[46],669.11
1012,Subtascope,physical,[39],1727.27
1013,Teplottlet,physical,[48],685.1
1014,Subplotter,physical,[29],950.46
1015,Retinaner,physical,[29],803.5
1016,Bijectphone,physical,[37],108.48
1017,Playmutry,physical,[33],1995.93
1018,Compickentor,physical,[33],1008.76
1019,Protinommscope,physical,[24],821.78
1020,Transtinator,physical,[46],1099.14
1021,Biplottor,physical,[19],893.78
1022,Suppickphone,physical,[46],1459.49
1023,Cabcessplridge,physical,[35],895.55
1024,Cabwoofepar,physical,[41],547.25
1025,Printleoner,physical,[24],1547.62
1026,Charbanderridge,physical,[47],1611.21
1027,Transtopridge,physical,[25],878.29
1028,Cabcessicor,physical,[29],254.42
1029,Cablifior,physical,[47],132.65
1030,Readwoofator,physical,[34],668.29
1031,Tweettectexator,physical,[38],1712.69
1032,Comholdadry,physical,[30],1434.85
1033,Antinonor,physical,[30],1809.52
1034,Amptectommer,physical,[40],1438.26
1035,Anculupator,physical,[27],1154.38
1036,Stereowoofry,physical,[25],215.04
1037,Monlifiridge,physical,[35],521.99
1038,Anmuter,physical,[46],1852.8
1039,Montiner,physical,[51],194.96
1040,Armlifiphone,physical,[41],1515.94
1041,Tabcyclor,physical,[24],355.12
1042,Speakcordicator,physical,[50],1113.78
1043,Playjectlet,physical,[44],1313.43
1044,Readleon,physical,[50],1730.12
1045,Stereotinonlet,physical,[34],1875.02
1046,Playtopridge,physical,[26],1033.96
1047,Moncessentor,physical,[49],422.66
1048,Bitaridge,physical,[51],1546.58
1049,Comnira,physical,[35],209.22
1050,Printjectry,physical,[25],240.09
1051,Conbandupator,physical,[27],155.41
1052,Cabjectaqulet,physical,[45],187.45
1053,Transpicker,physical,[30],1250.19
1054,Ampcordanphone,physical,[31],1025.47
1055,Tabtopator,physical,[41],1327.82
1056,Speakcordra,physical,[25],767.19
1057,Retopar,physical,[38],986.36
1058,Subwoofator,physical,[35],827.03
1059,Subleentor,physical,[49],1558.4
1060,Anceivewridge,physical,[29],847.09
1061,Subputor,physical,[28],1502.95
1062,Cabtellplor,physical,[48],825.3
1063,Comleer,physical,[35],1944.2
1064,Retinepra,physical,[38],1027.16
1065,Charculentor,physical,[40],1395.59
1066,Miccordinra,physical,[30],318.83
1067,Readjecter,physical,[40],666.25
1068,Monfinder,physical,[34],267.88
1069,Comwoofoper,physical,[32],1693.99
1070,Monolera,physical,[29],1656.49
1071,Comleor,physical,[50],181.93
1072,Bitinor,physical,[25],611.02
1073,Rejectra,physical,[29],1209.97
1074,Recessentor,physical,[41],446.32
1075,Pronier,physical,[39],171.74
1076,Tabteller,physical,[19],1843.74
1077,Supcyclaner,physical,[42],1891.76
1078,Charniaqulet,physical,[44],1498.24
1079,Cleanculaquor,physical,[44],1891.22
1080,Playceivanphone,physical,[34],1157.51
1081,Promuter,physical,[26],1339.51
1082,Mictopor,physical,[46],1258.57
1083,Speakleer,physical,[50],1008.1
1084,Tabtelleper,physical,[19],1335.69
1085,Cabcessanar,physical,[33],1912.78
1086,Teplottgaar,physical,[25],298.29
1087,Readlifiedgon,physical,[32],1031.74
1088,Tefinder,physical,[34],364.16
1089,Micpickexar,physical,[30],402.87
1090,Printcordphone,physical,[32],1449.25
1091,Monotectefon,physical,[33],926.65
1092,Comjecter,physical,[35],1173.19
1093,Tweetcordscope,physical,[32],183.6
1094,Cleanholderphone,physical,[35],1876.82
1095,Subteller,physical,[49],1590.56
1096,Retopader,physical,[47],960.94
1097,Armceivry,physical,[32],880.48
1098,Tabwoofletra,physical,[48],433.38
1099,Comculerar,physical,[30],1001.68
1100,Transculentor,physical,[24],188.68
1101,Printholder,physical,[50],471.38
1102,Suptinator,physical,[31],1198.57
1103,Cleanjectaquentor,physical,[35],1671.14
1104,Transfindicentor,physical,[26],370.26
1105,Monmutanphone,physical,[26],1623.05
1106,Bitaedgon,physical,[28],592.06
1107,Stereocorduper,physical,[49],183.51
1108,Cabjectator,physical,[44],781.5
1109,Carttaphone,physical,[36],1263.68
1110,Tweetcordedlet,physical,[33],1071.13
1111,Monoleexridge,physical,[37],493.58
